time_s,gaze_x,gaze_y,raw_x,raw_y,pitch_deg,yaw_deg,face_detected,calibrated,calib_mgae_deg,calib_rmse
31.351,0.5000,0.5000,0.5000,0.5000,179.20,20.26,1,0,,
31.391,0.5000,0.5000,0.5000,0.5000,178.82,21.09,1,0,,
31.430,0.5000,0.5000,0.5000,0.5000,178.84,22.19,1,0,,
31.463,0.5000,0.5000,0.5000,0.5000,178.40,22.61,1,0,,
31.502,0.5000,0.5000,0.5000,0.5000,178.48,23.42,1,0,,
31.547,0.5000,0.5000,0.5000,0.5000,177.90,22.18,1,0,,
31.594,0.5000,0.5000,0.5000,0.5000,178.78,22.25,1,0,,
31.631,0.5000,0.5000,0.5000,0.5000,178.95,20.44,1,0,,
31.671,0.5000,0.5000,0.5000,0.5000,178.99,22.19,1,0,,
31.707,0.5000,0.5000,0.5000,0.5000,178.82,20.24,1,0,,
31.745,0.5000,0.5000,0.5000,0.5000,179.19,17.12,1,0,,
31.784,0.5000,0.5000,0.5000,0.5000,179.17,16.39,1,0,,
31.825,0.5000,0.5000,0.5000,0.5000,178.67,-6.19,1,0,,
31.865,0.5000,0.5000,0.5000,0.5000,179.64,-10.37,1,0,,
31.901,0.5000,0.5000,0.5000,0.5000,179.04,-9.27,1,0,,
31.938,0.5000,0.5000,0.5000,0.5000,179.97,-12.27,1,0,,
31.977,0.5000,0.5000,0.5000,0.5000,-179.98,-14.94,1,0,,
32.014,0.5000,0.5000,0.5000,0.5000,179.45,-14.35,1,0,,
32.053,0.5000,0.5000,0.5000,0.5000,179.37,-13.08,1,0,,
32.091,0.5000,0.5000,0.5000,0.5000,178.99,-13.56,1,0,,
32.127,0.5000,0.5000,0.5000,0.5000,179.60,-13.38,1,0,,
32.170,0.5000,0.5000,0.5000,0.5000,178.39,-9.94,1,0,,
32.212,0.5000,0.5000,0.5000,0.5000,178.91,-11.52,1,0,,
32.251,0.5000,0.5000,0.5000,0.5000,179.22,-11.65,1,0,,
32.293,0.5000,0.5000,0.5000,0.5000,179.12,-11.49,1,0,,
32.333,0.5000,0.5000,0.5000,0.5000,178.29,-9.73,1,0,,
32.373,0.5000,0.5000,0.5000,0.5000,178.28,-9.72,1,0,,
32.414,0.5000,0.5000,0.5000,0.5000,178.11,-7.23,1,0,,
32.452,0.5000,0.5000,0.5000,0.5000,177.53,-5.43,1,0,,
32.488,0.5000,0.5000,0.5000,0.5000,177.67,-7.41,1,0,,
32.526,0.5000,0.5000,0.5000,0.5000,175.59,6.15,1,0,,
32.562,0.5000,0.5000,0.5000,0.5000,176.46,5.72,1,0,,
32.596,0.5000,0.5000,0.5000,0.5000,176.63,6.07,1,0,,
32.636,0.5000,0.5000,0.5000,0.5000,179.26,17.26,1,0,,
32.673,0.5000,0.5000,0.5000,0.5000,-178.75,19.06,1,0,,
32.708,0.5000,0.5000,0.5000,0.5000,-176.57,22.68,1,0,,
32.745,0.5000,0.5000,0.5000,0.5000,-174.06,24.85,1,0,,
32.783,0.5000,0.5000,0.5000,0.5000,-176.52,23.08,1,0,,
32.827,0.5000,0.5000,0.5000,0.5000,-174.43,25.49,1,0,,
32.867,0.5000,0.5000,0.5000,0.5000,-175.04,28.12,1,0,,
32.905,0.5000,0.5000,0.5000,0.5000,-172.16,26.03,1,0,,
32.943,0.5000,0.5000,0.5000,0.5000,-174.41,25.61,1,0,,
32.981,0.5000,0.5000,0.5000,0.5000,-174.70,25.63,1,0,,
33.019,0.5000,0.5000,0.5000,0.5000,-170.62,26.37,1,0,,
33.059,0.5000,0.5000,0.5000,0.5000,-171.51,27.00,1,0,,
33.095,0.5000,0.5000,0.5000,0.5000,-157.69,41.26,1,0,,
33.135,0.5000,0.5000,0.5000,0.5000,-156.85,43.90,1,0,,
33.171,0.5000,0.5000,0.5000,0.5000,-168.89,30.58,1,0,,
33.209,0.5000,0.5000,0.5000,0.5000,-158.05,44.91,1,0,,
33.254,0.5000,0.5000,0.5000,0.5000,-170.84,31.77,1,0,,
33.303,0.5000,0.5000,,,,,0,0,,
33.370,0.5000,0.5000,,,,,0,0,,
33.411,0.5000,0.5000,0.5000,0.5000,-154.27,46.14,1,0,,
33.448,0.5000,0.5000,0.5000,0.5000,-153.58,45.21,1,0,,
33.486,0.5000,0.5000,0.5000,0.5000,-153.28,48.67,1,0,,
33.524,0.5000,0.5000,0.5000,0.5000,-170.94,30.39,1,0,,
33.564,0.5000,0.5000,0.5000,0.5000,-156.21,51.59,1,0,,
33.601,0.5000,0.5000,0.5000,0.5000,-154.01,53.77,1,0,,
33.647,0.5000,0.5000,0.5000,0.5000,-151.05,53.40,1,0,,
33.683,0.5000,0.5000,,,,,0,0,,
33.726,0.5000,0.5000,,,,,0,0,,
33.770,0.5000,0.5000,0.5000,0.5000,-150.39,57.10,1,0,,
33.805,0.5000,0.5000,,,,,0,0,,
33.851,0.5000,0.5000,,,,,0,0,,
33.892,0.5000,0.5000,0.5000,0.5000,-151.36,57.99,1,0,,
33.934,0.5000,0.5000,0.5000,0.5000,-152.32,57.52,1,0,,
33.972,0.5000,0.5000,0.5000,0.5000,-172.02,33.99,1,0,,
34.008,0.5000,0.5000,0.5000,0.5000,-173.37,35.74,1,0,,
34.044,0.5000,0.5000,,,,,0,0,,
34.083,0.5000,0.5000,0.5000,0.5000,-156.65,55.09,1,0,,
34.122,0.5000,0.5000,0.5000,0.5000,-171.36,32.48,1,0,,
34.163,0.5000,0.5000,0.5000,0.5000,-171.27,31.56,1,0,,
34.200,0.5000,0.5000,0.5000,0.5000,-152.43,51.52,1,0,,
34.235,0.5000,0.5000,,,,,0,0,,
34.275,0.5000,0.5000,0.5000,0.5000,-171.70,24.19,1,0,,
34.309,0.5000,0.5000,0.5000,0.5000,-155.54,45.62,1,0,,
34.348,0.5000,0.5000,0.5000,0.5000,-151.07,48.45,1,0,,
34.387,0.5000,0.5000,0.5000,0.5000,-166.60,24.80,1,0,,
34.423,0.5000,0.5000,0.5000,0.5000,-167.77,20.21,1,0,,
34.458,0.5000,0.5000,0.5000,0.5000,-165.37,23.27,1,0,,
34.490,0.5000,0.5000,,,,,0,0,,
34.529,0.5000,0.5000,0.5000,0.5000,-153.30,41.79,1,0,,
34.566,0.5000,0.5000,0.5000,0.5000,-151.19,41.17,1,0,,
34.603,0.5000,0.5000,,,,,0,0,,
34.639,0.5000,0.5000,,,,,0,0,,
34.676,0.5000,0.5000,0.5000,0.5000,-167.23,19.48,1,0,,
34.711,0.5000,0.5000,0.5000,0.5000,-172.57,15.98,1,0,,
34.745,0.5000,0.5000,0.5000,0.5000,-166.01,21.63,1,0,,
34.786,0.5000,0.5000,0.5000,0.5000,-153.07,43.31,1,0,,
34.831,0.5000,0.5000,0.5000,0.5000,-155.27,50.07,1,0,,
34.867,0.5000,0.5000,0.5000,0.5000,-155.99,49.89,1,0,,
34.902,0.5000,0.5000,,,,,0,0,,
34.939,0.5000,0.5000,,,,,0,0,,
34.975,0.5000,0.5000,,,,,0,0,,
35.014,0.5000,0.5000,0.5000,0.5000,-153.74,42.24,1,0,,
35.046,0.5000,0.5000,,,,,0,0,,
35.082,0.5000,0.5000,,,,,0,0,,
35.126,0.5000,0.5000,0.5000,0.5000,-168.61,24.78,1,0,,
35.165,0.5000,0.5000,0.5000,0.5000,-153.47,47.03,1,0,,
35.204,0.5000,0.5000,0.5000,0.5000,-153.05,47.42,1,0,,
35.247,0.5000,0.5000,0.5000,0.5000,-155.91,45.19,1,0,,
35.290,0.5000,0.5000,0.5000,0.5000,-168.85,20.11,1,0,,
35.328,0.5000,0.5000,0.5000,0.5000,-153.31,40.80,1,0,,
35.367,0.5000,0.5000,0.5000,0.5000,-155.28,38.90,1,0,,
35.402,0.5000,0.5000,0.5000,0.5000,-152.94,42.47,1,0,,
35.440,0.5000,0.5000,0.5000,0.5000,-168.78,20.59,1,0,,
35.481,0.5000,0.5000,0.5000,0.5000,-168.64,14.77,1,0,,
35.522,0.5000,0.5000,0.5000,0.5000,-153.46,37.80,1,0,,
35.559,0.5000,0.5000,0.5000,0.5000,-155.28,41.91,1,0,,
35.602,0.5000,0.5000,0.5000,0.5000,-154.28,42.27,1,0,,
35.639,0.5000,0.5000,0.5000,0.5000,-169.40,20.09,1,0,,
35.679,0.5000,0.5000,0.5000,0.5000,-159.69,44.66,1,0,,
35.713,0.5000,0.5000,0.5000,0.5000,-159.75,43.87,1,0,,
35.749,0.5000,0.5000,0.5000,0.5000,-158.57,47.49,1,0,,
35.793,0.5000,0.5000,0.5000,0.5000,-172.52,26.68,1,0,,
35.827,0.5000,0.5000,0.5000,0.5000,-157.06,47.85,1,0,,
35.863,0.5000,0.5000,0.5000,0.5000,-156.64,47.26,1,0,,
35.904,0.5000,0.5000,0.5000,0.5000,-155.97,46.93,1,0,,
